Key,ShortKey,Source,Row,Module,Field,Character,CN,EN
Event_7101_Tips3,azGs,s事件_Event_A.csv,8,Event,Tips3,,当前并未拥有症状卡,You are not currently exhibiting any Symptoms.
Event_7618_Desc,aCic,s事件_Event_A.csv,20,Event,Desc,,你集中精神，幻象如水墨一般散去。你继续向前，却无法彻底清除心头的阴霾。,"You focus, and the illusion dissipates like ink in water. You move forward, but the shadow on your heart remains."
Event_7510_Desc,aBJg,s事件_Event_A.csv,22,Event,Desc,,你集中精神，幻象如水墨一般散去。你继续向前，却无法彻底清除心头的阴霾。,"You focus, and the illusion dissipates like ink in water. You move forward, but the shadow on your heart remains."
Event_6858_Tips1,ayBe,s事件_Event_A.csv,23,Event,Tips1,,需要获得「锈蚀钥匙」,"You need to find the ""Rusted Keys""."
Event_7467_Desc,aBzk,s事件_Event_A.csv,24,Event,Desc,,咔嚓。\n你将钥匙插入锁孔，轻轻把门推开。\n整个开门的过程都无比顺利，让你对接下来的调查又有了信心。,"Click.\nYou insert the key into the lock and gently push the door open.\nThe whole process goes smoothly, boosting your confidence for the investigation ahead."
Event_57738_Tips3,axNU,s事件_Event_A.csv,51,Event,Tips3,,当前所有唤醒体没有狂气,No Awakeners have Aliemus.
Event_7586_Desc,aCaI,s事件_Event_A.csv,64,Event,Desc,,拉伊特产，活蹦乱跳的母鸡，美食的诱惑。,"The Rye Specialty: Lively Hen, a culinary temptation!"
Event_7283_Desc,aAvE,s事件_Event_A.csv,69,Event,Desc,,一种近水银态的银色物质，由融蚀黏液中提炼而出，蕴含强大精神力，主要用于在仪式中链接更多唤醒体。,"A near-mercury-like silver substance, refined from D-Slime, containing strong mental power, used to link more Awakeners in rituals."
Event_7172_Desc,azWI,s事件_Event_A.csv,72,Event,Desc,,一种近水银态的银色物质，由融蚀黏液中提炼而出，蕴含强大精神力，主要用于在仪式中链接更多唤醒体。,"A near-mercury-like silver substance, refined from D-Slime, containing strong mental power, used to link more Awakeners in rituals."
Event_7053_Desc,azuY,s事件_Event_A.csv,73,Event,Desc,,一种近水银态的银色物质，由融蚀黏液中提炼而出，蕴含强大精神力，主要用于在仪式中链接更多唤醒体。,"A near-mercury-like silver substance, refined from D-Slime, containing strong mental power, used to link more Awakeners in rituals."
Event_6885_Desc,ayHo,s事件_Event_A.csv,74,Event,Desc,,一种近水银态的银色物质，由融蚀黏液中提炼而出，蕴含强大精神力，主要用于在仪式中链接更多唤醒体。,"A near-mercury-like silver substance, refined from D-Slime, containing strong mental power, used to link more Awakeners in rituals A near-mercury-like silver substance, refined from D-Slime, containing strong mental power, used to link more Awakeners in rituals."
Event_7048_Desc,aztQ,s事件_Event_A.csv,103,Event,Desc,,「你知道吗？」在拉蒙娜搜寻神秘人的身影时，一个声音突然响起，像是谁在悄声议论，「你知道那个事儿吗？那个大事儿？」,"""Did you know?"" As Ramona searched for the mysterious figure, a voice suddenly whispered, ""Do you know about that matter? That terribly important matter?"""
Event_7298_Desc,aAzc,s事件_Event_A.csv,115,Event,Desc,,你将一根手指抵在唇角，示意自己将为此事噤声。\n黑猫幻影般一闪而过，在你脚边留下了黑亮的馈赠。,"You place a finger to your lips, signaling silence.\nThe black cat flashes by like a phantasm, leaving a dark gift at your feet."
Event_6914_Desc,ayNY,s事件_Event_A.csv,124,Event,Desc,,猫满意地点点头，随即化作一道阴影原地消散，留下了几个黑色的圆形物件。,"The cat nodded in satisfaction, then vanished into a shadow, leaving behind several black circular objects."
