Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,,,,,,,,,,,
AvgDialog_22130_Content_3,aibH,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,10,AvgDialog,Content,玩家,好了，奥尔拉，旁边的旅客们都走了。,A painting like you have never seen before unfolds before your eyes.,,,,,,,,,,,
AvgDialog_22130_Content_11,aibk,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,18,AvgDialog,Content,无纸奥尔拉,我总觉得，他身上有一种非常神秘的气质……谁知道呢？,I always felt there was something very mysterious about him... Who knows?,,,,,,,,,,,
AvgDialog_22130_Content_17,aibt,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,24,AvgDialog,Content,无纸奥尔拉,啊！守密人%sirormadam%，您看！是塞涅尔河！,"Ah! {Male=Sir,Female=Madam} Keeper, look! It's the Szenyér river!",,,,,,,,,,,
AvgDialog_22130_Content_23,aibA,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,30,AvgDialog,Content,汉娜,你不是有个什么读诗会嘛~据我的线人透露，奥尔拉好像经常出席你们的活动。,"Don't you have a poetry club or something? According to my informant, Horla seems to frequently attend your events.",,,,,,,,,,,
AvgDialog_22130_Content_24,aibB,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,31,AvgDialog,Content,汉娜,你和她关系这么近，一定知道她在哪吧？！,"Horla, did you disable your shroud?",,,,,,,,,,,
AvgDialog_22130_Content_27,aibE,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,34,AvgDialog,Content,宁菲亚,如果你那里有的话，我会很愿意花大价钱买下来的。,"If you have it, I'd be willing to pay a high price for it.",,,,,,,,,,,
AvgDialog_22130_Content_29,aibG,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,36,AvgDialog,Content,汉娜,最近的校报没有什么话题度，奥尔拉从来都不喜欢被采访，连自己的诗集也不愿意刊登。,You turn around.,,,,,,,,,,,
AvgDialog_22130_Content_30,aibI,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,37,AvgDialog,Content,汉娜,要是能刊登她的诗集，甚至对她做一次专访，这个月的校刊销售量肯定会涨一倍的！,"The cruise ship collides with the shore buffer, producing a dull thud.",,,,,,,,,,,
AvgDialog_22130_Content_31,aibJ,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,38,AvgDialog,Content,汉娜,标题我都想好了，就叫《花园与春天——少女诗人奥尔拉不为人知的往事》……,"You and Horla stare in bewilderment, seemingly forgetting how to walk.",,,,,,,,,,,
AvgDialog_22130_Content_32,aibK,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,39,AvgDialog,Content,朵尔,……据统计，目前的目击案例已经达到两位数。,I always felt there was something very mysterious about him... Who knows?,,,,,,,,,,,
