AvgDialog_8232_Content_2,aqFi,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,9,AvgDialog,Content,,悔过,Repentance
AvgDialog_8232_Content_3,aqFt,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,10,AvgDialog,Content,,"那持灯的预备了火焰，要将一切罪恶从世间驱逐。
the Light Bearer hath prepared a fire, to burn wickedness from this world.","The Light Bearer hath prepared a fire to burn all wickedness from this world. \n<Italic:Luminifer ignem paravit, quo ex hoc mundo omnis iniquitas comburatur.>"
AvgDialog_8232_Content_4,aqFE,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,11,AvgDialog,Content,,你是什么？,What are you?
AvgDialog_8232_Content_5,aqFP,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,12,AvgDialog,Content,？？？,我是罪人。,I am a sinner.
AvgDialog_8232_Content_6,aqGa,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,13,AvgDialog,Content,,你犯下了什么罪过？,What sin have you committed?
AvgDialog_8232_Content_7,aqGl,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,14,AvgDialog,Content,？？？,我贪婪成性，我放纵欲望，我任由恶魔污染我的灵魂，然后将痛苦带给无辜之人。,"Greed... Desire... I allow evil to taint my soul, and then inflict pain upon the innocent."
AvgDialog_8232_Content_8,aqGu,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,15,AvgDialog,Content,,你应该怎么做？,What should you do?
AvgDialog_8232_Content_9,aqGv,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,16,AvgDialog,Content,？？？,"我应当向我所害的人忏悔，我应当向神明忏悔。
我应当受鞭笞之刑，应当流血直到黑色的罪恶流出，以获得<Red:净化>。","Repentance to the gods and those I have wronged...\nI must endure the whip, bleed until the black sin flows out, until <Red:purification> is attained."
AvgDialog_8232_Content_10,aqEY,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,17,AvgDialog,Content,？？？,审判将至，唯有纯净的灵魂得以进入无罪的净土。,Judgment Day is approaching. Only those pure of soul may enter the Innocent Haven.
AvgDialog_8232_Content_11,aqEZ,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,18,AvgDialog,Content,,<Red:愿提灯长明>。,<Red:May the lantern remain lit>.
AvgDialog_8232_Content_12,aqFa,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,19,AvgDialog,Content,,"伦蒂尼恩圣堂区
父神济世大圣堂",Londinium Church District  \nLondinium Church of Father's Eternal Blessings
AvgDialog_8232_Content_13,aqFb,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,20,AvgDialog,Content,,难得的阳光驱散了弥漫伦蒂尼恩的水汽，点点浮云铺陈在蓝天之中投下斑驳的阴影，为下面的人们带来转瞬即逝的阴凉。,"Rare sunlight disperses the mist over Londinium, casting mottled shadows from scattered clouds, bringing fleeting coolness to the people below."
AvgDialog_8232_Content_14,aqFc,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,21,AvgDialog,Content,,彩带与彩旗从圣堂的塔楼上向四处延伸，通过支撑的旗杆与周围的房屋相连，其中最大的是挂在圣堂塔楼间的横幅，上面写着“义卖日”。,"Ribbons and flags stretch from the Church's towering spires, connected by poles to surrounding houses. The largest banner hanging between them reads ""Bazaar Day."""
AvgDialog_8232_Content_15,aqFd,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,22,AvgDialog,Content,,层叠的门楣之下，沉重的木门向内敞开着，方便参加完祈福仪式的人们离开静谧的圣堂，加入到喧嚣热烈的集市之中。,"Under the layered lintel, the heavy wooden door swings inward, allowing those who have completed the blessing ceremony to leave the tranquil Church and join the bustling, lively market."
AvgDialog_8232_Content_16,aqFe,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,23,AvgDialog,Content,奥吉尔,今天真的非常感谢你，<Blue:索菲亚小姐>。,"Thank you so much today, <Blue:Miss Sophia>."
AvgDialog_8232_Content_17,aqFf,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,24,AvgDialog,Content,,你和奥吉尔走在人群的最后，名为索菲亚的圣堂事务员走在你们身边，笑着与你们交谈。,"You and Ogier walk toward the back of the crowds, with a Church staff member named Sophia chatting and smiling beside you."
AvgDialog_8232_Content_18,aqFg,avgV1.3萨尔瓦多大型支线_AvgDialog_C_M.csv,25,AvgDialog,Content,玩家,是啊，如果不是你，我们恐怕连圣堂的门都挤不进去。,"Yes, without you, we probably couldn't even squeeze into the Church."
